,Food,Calories,Carbohydrate,Fiber,Protein,Sugar,Salt,Polyunsaturated (good) Fat,Saturated (bad) Fat,Monounsaturated (bad) Fat,Calcium,Iron,Magnesium,Phosphorus,Potassium,Zinc,Copper,Vitamin A,Vitamin B6,Vitamin B12,Vitamin C,Vitamin D,Vitamin K,Selenium,Thiamin,Niacin,Food Folate,Choline
97,"Sherbet, all flavors, cup",144.0,30.3998,1.3,1.1,24.32,46.0,0.08,1.1598,0.53,54.0,0.14,8.0,40.0,96.0,0.48,0.028,12.0,0.023,0.13,2.2999,0.0,0.0,1.5,0.027,0.063,4.0,7.7
98,"Fat free ice cream, no sugar added, chocolate, cup",173.0,26.7898,0.9,3.54,5.65,75.0,0.527,3.6099,0.93,121.0,0.48,15.0,106.0,196.0,0.4,0.018,75.0,0.042,0.38,0.7,0.1,3.6,2.8999,0.044,0.111,5.0,11.6999
99,"Fat free ice cream, no sugar added, vanilla or other flavors, cup",129.0,27.94,7.4,4.41,8.82,110.0,0.0,0.0,0.0,147.0,0.0,9.0,75.0,196.0,0.31,0.03,133.0,0.029,0.52,0.0,0.0,0.0,1.8998,0.029,0.074,4.0,23.0
100,"Fat free ice cream, chocolate, cup",167.0,37.7,0.0,4.2999,37.7,97.0,0.03,0.597,0.329,154.0,0.04,45.0,123.0,333.0,0.47,0.008,2.0,0.04,0.55,0.7,0.0,0.0,2.6,0.05,0.1,6.0,0.9
101,"Milk dessert sandwich bar, frozen, made from low fat milk, cup",189.0,35.57,0.9,5.5,21.39,54.0,0.369,1.575,0.951,124.0,0.45,21.0,120.0,224.0,0.61,0.1,22.0,0.044,0.38,0.7,0.0,0.6,7.9,0.058,0.3,8.0,17.1999
102,"Milk dessert bar, frozen, made from low fat milk and low calorie sweetener, cup",105.0,22.28,1.6,3.6,3.93,102.0,0.089,0.591,0.157,101.0,0.94,15.0,106.0,196.0,0.4,0.018,7.0,0.042,0.38,0.7,0.0,3.6,2.8999,0.044,0.111,5.0,11.6999
103,"Baked Alaska, cup",248.0,35.5799,0.5,4.83,28.18,136.0,1.3409,4.469,3.353,84.0,0.78,11.0,84.0,148.0,0.53,0.033,107.0,0.042,0.28,0.3,0.3,3.7,6.2999,0.081,0.554,8.0,33.6
104,"Bread pudding, with raisins, cup",154.0,23.4698,1.0,5.5198,14.67,216.0,1.0228,1.61,1.659,137.0,1.04,16.0,112.0,202.0,0.61,0.07,72.0,0.066,0.19,0.2,1.1,2.3999,9.5998,0.093,0.793,10.0,41.2
105,"Bread pudding, with low fat (1%) milk, cup",149.0,23.5598,1.0,5.58,14.74,216.0,0.984,1.27,1.5088,141.0,1.04,17.0,115.0,208.0,0.6,0.068,75.0,0.066,0.19,0.2,1.1,2.2999,9.6998,0.085,0.794,10.0,41.8999
106,"Bread pudding, with reduced fat (2%) milk, cup",154.0,23.43,1.0,5.54,14.65,218.0,1.0088,1.677,1.694,137.0,1.04,17.0,113.0,201.0,0.64,0.065,73.0,0.066,0.2,0.3,1.1,2.3999,9.1998,0.092,0.793,10.0,41.3999
107,"Bread pudding, with whole  milk, cup",162.0,23.43,1.0,5.44,14.65,215.0,1.089,2.0739,1.858,133.0,1.04,16.0,107.0,196.0,0.57,0.077,67.0,0.065,0.18,0.2,1.1,2.5,10.0,0.095,0.792,10.0,40.6
108,"Bread pudding, Puerto Rican, with evaporated milk and rum , cup",271.0,38.6499,1.0,8.1898,22.94,330.0,1.8009,3.5,3.318,220.0,1.6,23.0,166.0,240.0,0.84,0.073,85.0,0.073,0.14,0.7,1.3,4.0998,12.6,0.167,1.5388,14.0,48.8999
109,"Bread pudding, Mexican , cup",280.0,40.9799,1.3,5.0598,26.57,244.0,1.357,4.2839,5.173,82.0,1.23,22.0,78.0,125.0,0.54,0.098,19.0,0.046,0.05,0.4,0.1,1.3,7.7,0.104,1.347,8.0,9.4
110,"Bread pudding, Mexican, with milk , cup",291.0,41.9099,1.3,5.8399,27.6498,253.0,1.371,4.543,5.2629,111.0,1.23,25.0,100.0,159.0,0.64,0.099,32.0,0.055,0.16,0.4,0.4,1.3998,8.4,0.113,1.361,9.0,13.1
111,"Custard, with whole milk, cup",104.0,10.92,0.0,4.95,11.06,90.0,0.507,2.1659,1.35,108.0,0.34,11.0,108.0,139.0,0.55,0.035,68.0,0.052,0.34,0.0,1.5,0.3,8.6998,0.035,0.089,10.0,50.8999
112,"Custard, with reduced fat (2%) milk, cup",94.0,10.92,0.0,5.08,11.07,93.0,0.402,1.641,1.1318,114.0,0.33,12.0,115.0,146.0,0.64,0.018,76.0,0.053,0.38,0.1,1.3998,0.2,7.5998,0.031,0.092,10.0,52.2999
113,"Custard, with heavy cream, cup",349.0,9.3,0.0,4.03,9.23,86.0,1.5268,20.367,9.848,66.0,0.35,8.0,89.0,90.0,0.43,0.019,382.0,0.046,0.21,0.3,1.0,2.7999,6.0,0.02,0.046,9.0,53.2999
114,"Custard, with fat free (skim) milk, cup",80.0,11.0398,0.0,5.1398,11.08,89.0,0.34,0.601,0.665,116.0,0.34,12.0,122.0,160.0,0.59,0.024,81.0,0.053,0.36,0.0,1.3998,0.1,8.0998,0.035,0.093,10.0,51.6
115,"Custard, with soymilk, cup",89.0,11.06,0.2,4.5,9.8498,93.0,1.084,0.729,0.977,112.0,0.69,16.0,73.0,130.0,0.45,0.154,73.0,0.05,0.51,0.0,1.3,2.6,7.5998,0.026,0.383,13.0,56.7999
116,"Custard, Puerto Rican style, with reduced fat (2%) milk, cup",151.0,27.6,0.0,4.1398,27.55,148.0,0.499,1.1618,1.082,52.0,0.46,7.0,77.0,78.0,0.47,0.025,57.0,0.047,0.23,0.0,0.9,0.1,8.5998,0.015,0.045,10.0,61.6
117,"Flan, made with skim milk, cup",146.0,27.6298,0.0,4.16,27.53,146.0,0.477,0.796,0.918,52.0,0.46,7.0,80.0,82.0,0.46,0.027,58.0,0.046,0.22,0.0,0.9,0.1,8.6998,0.016,0.045,10.0,61.3999
118,"Pudding, rice, with rice beverage, cup",129.999,29.7669,0.649,1.23,16.413,57.7869,0.273,0.024,0.526,101.547,0.383,14.042,64.0879,82.4579,0.241,0.075,50.3939,0.052,0.277,0.132,0.8,0.423,3.5129,0.028,0.538,2.112,2.697
119,"Pudding, rice, with reduced fat (2%) milk, cup",133.848,26.6909,0.418,3.636,16.443,64.299,0.08,1.018,0.47,102.176,0.244,14.048,92.426,172.803,0.519,0.052,43.4819,0.052,0.23,0.238,0.949,0.426,3.766,0.036,0.303,4.0119,11.191
120,"Pudding, rice, with whole milk, cup",142.5449,26.6909,0.418,3.5169,16.6009,61.137,0.177,1.499,0.669,96.6419,0.251,13.257,86.1009,166.479,0.432,0.067,36.3669,0.051,0.196,0.135,1.028,0.505,4.7149,0.04,0.301,4.0119,9.9459
121,"Pudding, rice, with low fat (1%) milk, cup",127.524,26.8419,0.418,3.6909,16.5539,61.9279,0.05,0.525,0.246,106.129,0.251,14.048,94.798,180.709,0.472,0.055,45.8539,0.052,0.204,0.135,0.949,0.347,4.399,0.024,0.304,4.0119,11.962
122,"Pudding, rice, with half and half, cup",197.275,26.405,0.42,3.365,12.6329,59.5989,0.359,5.666,2.645,90.1039,0.284,13.2609,94.673,164.91,0.542,0.055,76.4539,0.053,0.143,0.597,0.158,1.294,3.218,0.033,0.293,2.746,12.529
123,"Pudding, rice, with fat free (skim) milk, cup",120.995,26.765,0.417,3.692,16.44,60.326,0.025,0.069,0.044,103.883,0.251,14.047,99.6099,185.477,0.472,0.057,48.298,0.052,0.218,0.135,0.95,0.267,4.24,0.039,0.304,4.014,10.727
124,"Pudding, rice, with soy milk (soy beverage), cup",128.5569,26.7869,0.591,3.1099,15.314,64.4429,0.706,0.187,0.33,100.795,0.568,17.6099,54.0439,158.399,0.339,0.176,41.3699,0.049,0.352,0.135,0.827,2.6429,3.705,0.031,0.57,6.833,15.477
125,"Pudding, tapioca,  home recipe, with reduced fat (2%) milk, cup",114.0,17.01,0.0,4.7199,15.14,157.0,0.373,1.524,1.052,106.0,0.35,11.0,107.0,136.0,0.6,0.018,70.0,0.054,0.46,0.1,1.3,0.2,7.0998,0.034,0.086,9.0,50.6
126,"Pudding, tapioca,  home recipe, with whole milk, cup",123.0,17.01,0.0,4.5998,15.13,154.0,0.471,2.012,1.254,101.0,0.36,10.0,100.0,129.0,0.51,0.033,63.0,0.053,0.41,0.0,1.3998,0.3,8.0998,0.039,0.083,9.0,49.0
127,"Pudding, tapioca,  home recipe, with fat free (skim)  milk , cup",101.0,17.1,0.0,4.7698,15.14,153.0,0.316,0.558,0.618,108.0,0.35,11.0,114.0,149.0,0.55,0.024,75.0,0.053,0.45,0.0,1.3,0.0,7.5998,0.038,0.087,9.0,49.8999
128,"Tapioca pudding, home recipe, with low fat (1%) milk, cup",108.0,17.16,0.0,4.78,15.25,155.0,0.343,1.0228,0.824,110.0,0.36,11.0,109.0,144.0,0.55,0.021,73.0,0.053,0.43,0.0,1.3,0.1,7.7999,0.02,0.086,9.0,51.5
129,"Pudding, tapioca,  dry mix, with whole milk , cup",117.0,19.8298,0.0,2.97,17.69,153.0,0.184,1.758,0.765,107.0,0.08,9.0,79.0,125.0,0.35,0.025,43.0,0.031,0.34,0.0,1.2,0.3,3.6,0.039,0.084,4.0,12.1999
130,"Pudding, tapioca,  dry mix, with reduced fat (2%) milk, cup",107.0,19.8298,0.0,3.12,17.6999,157.0,0.069,1.185,0.528,114.0,0.07,10.0,87.0,133.0,0.46,0.007,52.0,0.032,0.4,0.2,1.1,0.2,2.5,0.033,0.087,4.0,13.9
131,"Pudding, tapioca,  dry mix, with light cream, cup",244.0,18.96,0.0,2.54,16.55,152.0,0.674,11.301,5.243,91.0,0.09,9.0,75.0,115.0,0.26,0.009,170.0,0.027,0.16,0.6,0.4,1.6,0.7,0.027,0.054,2.0,14.1999
132,"Pudding, tapioca,  dry mix, with soy milk (soy beverage), cup",100.0,19.9499,0.2,2.49,16.34,157.0,0.814,0.193,0.361,112.0,0.46,15.0,41.0,115.0,0.24,0.155,49.0,0.028,0.61,0.0,1.0,2.7999,2.3999,0.026,0.405,8.0,20.1
133,"Coconut pudding, with reduced fat (2%) milk , cup",112.0,17.59,0.5,2.97,16.03,182.0,0.062,2.8079,0.477,104.0,0.12,12.0,143.0,138.0,0.46,0.029,47.0,0.04,0.45,0.2,1.0,0.2,2.7999,0.035,0.105,5.0,14.6
134,"Indian pudding, (with milk, molasses and cornmeal), cup",133.0,21.18,0.3,4.0998,14.88,189.0,0.359,1.841,0.965,123.0,0.98,36.0,97.0,280.0,0.49,0.081,51.0,0.107,0.16,0.0,1.3,0.3,7.7999,0.066,0.552,7.0,23.6
135,"Pudding, pumpkin, Puerto Rican style, cup",116.0,16.28,0.6,3.6,9.91,312.0,1.12,1.153,1.9018,38.0,1.1,13.0,78.0,283.0,0.52,0.111,344.0,0.073,0.15,4.7999,0.5,3.7999,7.2999,0.069,0.673,16.0,47.1
136,"Pudding, vanilla, dry mix, with fat free (skim) milk, cup",90.0,19.39,0.0,2.8999,18.41,209.0,0.016,0.092,0.031,105.0,0.03,9.0,147.0,136.0,0.36,0.021,52.0,0.029,0.34,0.0,1.0,0.0,2.7999,0.035,0.081,4.0,12.1
137,"Chocolate pudding, ready-to-eat (snack pack or cup), reduced fat, cup",93.0,20.87,0.3,1.9299,15.75,154.0,0.0,0.0,0.0,39.0,1.69,15.0,54.0,208.0,0.3,0.083,0.0,0.016,0.15,0.0,0.0,0.1,1.6,0.018,0.087,3.0,7.0
138,"Fruit-flavored mousse, cup",208.0,16.9499,0.8,1.4599,14.72,43.0,0.619,9.742,4.527,32.0,0.14,9.0,35.0,121.0,0.16,0.034,175.0,0.07,0.08,11.1,0.3,2.0,0.6,0.02,0.234,9.0,10.0
139,"Chantilly Cream, cup",317.0,12.23,0.0,2.8199,9.91,48.0,1.086,18.2109,8.4489,52.0,0.04,7.0,51.0,77.0,0.19,0.008,325.0,0.021,0.15,0.5,0.6,2.5,2.6,0.018,0.042,4.0,13.4
140,"Coconut custard, Puerto Rican style, cup",282.0,40.0399,0.3,8.1998,39.6,134.0,0.67,6.594,2.5859,203.0,0.68,24.0,213.0,293.0,1.03,0.052,85.0,0.082,0.28,1.1,1.1,0.5,15.0,0.047,0.189,14.0,88.7998
141,"Dulce de leche, cup",315.0,55.35,0.0,6.8399,49.74,129.0,0.375,4.5339,2.1429,251.0,0.17,22.0,193.0,350.0,0.79,0.004,74.0,0.016,0.31,2.6,0.2,1.3,2.7,0.016,0.21,11.0,89.0999
142,"Barfi or Burfi, Indian dessert, cup",285.0,38.82,0.3,6.82,36.95,54.0,0.796,6.743,3.9529,139.0,0.34,16.0,124.0,130.0,0.81,0.056,93.0,0.048,0.16,0.3,0.2,1.3,7.4,0.031,0.162,7.0,13.6999
143,"Tiramisu, cup",283.0,25.02,0.9,4.44,17.9898,97.0,1.0589,9.98,5.5118,53.0,1.1798,31.0,102.0,132.0,0.66,0.121,151.0,0.056,0.31,0.7,0.6,1.7,7.7,0.068,1.151,18.0,67.2
144,"Pudding, vanilla, instant, dry mix, cup (drink box)",377.0,92.9,0.0,0.0,92.9,1441.0,0.01,0.432,0.12,12.0,0.01,1.0,705.0,12.0,0.06,0.093,1.0,0.002,0.02,0.0,0.0,0.1,0.7,0.002,0.006,0.0,1.1
145,"Cream sauce, made with margarine, cup",146.0,9.1998,0.2,3.7,4.78,347.0,2.7589,2.744,4.714,113.0,0.31,12.0,93.0,141.0,0.44,0.022,139.0,0.035,0.38,0.1,1.3,10.3,4.9,0.072,0.407,5.0,15.3
146,"Milk gravy, without fat, coffee cup (6 fl oz)",72.0,9.22,0.1,4.0,5.36,247.0,0.121,1.222,0.538,126.0,0.28,12.0,102.0,155.0,0.49,0.023,56.0,0.037,0.41,0.1,1.3,0.2,5.0998,0.07,0.383,5.0,15.5
147,"Milk gravy, with vegetable oil, coffee cup (6 fl oz)",143.0,8.5,0.1,3.69,4.94,228.0,3.862,2.261,4.001,116.0,0.26,11.0,94.0,143.0,0.45,0.021,52.0,0.034,0.38,0.1,1.2,9.9,4.7,0.064,0.353,5.0,14.3
148,"Milk gravy, with margarine, coffee cup (6 fl oz)",114.0,8.48,0.1,3.72,4.9199,292.0,2.241,2.0449,2.4639,118.0,0.26,12.0,95.0,145.0,0.45,0.021,126.0,0.035,0.39,0.1,1.3,9.4,4.7,0.065,0.353,5.0,15.3
149,"Blue cheese, cup",353.0,2.3399,0.0,21.3998,0.5,1146.0,0.8,18.669,7.7778,528.0,0.31,23.0,387.0,256.0,2.66,0.04,198.0,0.166,1.22,0.0,0.5,2.3999,14.5,0.029,1.016,36.0,15.4
150,"Brick cheese, with salami, cup",368.0,2.75,0.0,23.1,0.56,649.0,0.958,17.8189,8.851,608.0,0.54,24.0,425.0,154.0,2.6299,0.057,263.0,0.104,1.29,0.0,0.6,2.6,16.1999,0.049,0.711,18.0,23.1999
151,"Brie cheese, cup",334.0,0.45,0.0,20.75,0.45,629.0,0.826,17.41,8.0129,184.0,0.5,20.0,188.0,152.0,2.3799,0.019,174.0,0.235,1.6498,0.0,0.5,2.2999,14.5,0.07,0.38,65.0,15.4
152,"Cheddar cheese, reduced fat, cup",282.0,2.0,0.0,27.1999,0.58,725.0,0.75,11.58,5.0199,905.0,0.13,35.0,583.0,93.0,4.2999,0.021,150.0,0.084,1.6599,0.0,0.3,1.5,15.5,0.03,0.06,20.0,15.4
153,"Cheese, Cheddar, fat free, cup",157.0,7.1398,0.0,32.14,0.0,1000.0,0.0,0.0,0.0,893.0,0.0,16.0,484.0,66.0,1.82,0.021,60.0,0.045,0.49,0.0,0.1,0.6,14.5,0.012,0.051,11.0,15.4
154,"Cheese, Colby Jack, cup",384.0,1.62,0.0,24.12,0.51,602.0,0.926,19.6419,9.016,716.0,0.74,26.0,450.0,104.0,3.04,0.037,231.0,0.079,0.83,0.0,0.6,2.6,14.5,0.015,0.093,18.0,15.4
155,"Cheese, Fontina, cup",389.0,1.55,0.0,25.6,1.55,800.0,1.6538,19.196,8.6868,550.0,0.23,14.0,346.0,64.0,3.5,0.025,261.0,0.083,1.6799,0.0,0.6,2.6,14.5,0.021,0.15,6.0,15.4
156,"Cheese, Gouda or Edam, cup",357.0,1.6698,0.0,24.98,1.6698,814.0,0.663,17.585,8.012,722.0,0.38,30.0,539.0,168.0,3.7999,0.036,220.0,0.077,1.54,0.0,0.5,2.2999,14.5,0.035,0.076,18.0,15.4
157,"Cheese, Monterey, cup",373.0,0.68,0.0,24.48,0.5,600.0,0.899,19.0658,8.7508,746.0,0.72,27.0,444.0,81.0,3.0,0.032,198.0,0.079,0.83,0.0,0.6,2.5,14.5,0.015,0.093,18.0,15.4
158,"Pepper jack cheese, cup",373.0,0.68,0.0,24.48,0.5,600.0,0.899,19.0658,8.7508,746.0,0.72,27.0,444.0,81.0,3.0,0.032,198.0,0.079,0.83,0.0,0.6,2.5,14.5,0.015,0.093,18.0,15.4
159,"Cheese, Mozzarella, whole milk, cup",300.0,2.1899,0.0,22.17,1.03,627.0,0.765,13.1518,6.573,505.0,0.44,20.0,354.0,76.0,2.9199,0.011,179.0,0.037,2.2799,0.0,0.4,2.2999,17.0,0.03,0.104,7.0,15.4
160,"Cheese, Mozzarella, low sodium, cup",280.0,3.1,0.0,27.5,1.23,16.0,0.509,10.867,4.844,731.0,0.25,26.0,524.0,95.0,3.1299,0.027,137.0,0.08,0.92,0.0,0.3,1.8,15.6999,0.02,0.12,9.0,18.3998
161,"Cheese, Muenster, cup",368.0,1.12,0.0,23.41,1.12,628.0,0.661,19.113,8.711,717.0,0.41,27.0,468.0,134.0,2.81,0.031,298.0,0.056,1.47,0.0,0.6,2.5,14.5,0.013,0.103,12.0,15.4
162,"Cheese, Parmesan, dry grated, cup",431.0,4.0598,0.0,38.46,0.9,1529.0,1.173,17.3008,8.375,1109.0,0.9,38.0,729.0,125.0,3.87,0.238,229.0,0.049,2.2599,0.0,0.5,1.8998,17.6999,0.029,0.114,10.0,15.4
163,"Cheese, Swiss, low sodium, cup",374.0,3.3999,0.0,28.3998,1.31,14.0,0.968,17.744,7.256,961.0,0.17,36.0,605.0,111.0,3.8999,0.032,216.0,0.08,1.6799,0.0,0.5,2.3999,12.5,0.02,0.09,6.0,15.4
164,"Cheese, cream, light , cup",201.0,8.13,0.0,7.8498,5.82,359.0,0.658,9.098,3.996,148.0,0.17,8.0,152.0,247.0,0.57,0.032,161.0,0.045,0.92,0.0,0.3,1.1,4.0,0.04,0.125,19.0,12.1
165,"American cheese, pasteurized processed, cup",336.0,7.4699,0.0,17.96,6.5499,1311.0,1.042,15.8439,7.532,539.0,0.43,30.0,514.0,276.0,2.8599,0.063,241.0,0.072,1.12,0.0,0.7,3.3999,14.5,0.062,0.155,9.0,35.7
166,"American cheese, pasteurized processed, low fat, cup",180.0,3.5,0.0,24.6,0.59,1430.0,0.222,4.41,2.0049,684.0,0.43,24.0,827.0,180.0,3.3199,0.033,57.0,0.08,0.77,0.0,0.1,2.7,16.6,0.03,0.08,9.0,36.2
167,"Cream cheese product, fat free, cup",105.0,7.66,0.0,15.69,5.48,702.0,0.057,0.644,0.25,351.0,0.19,22.0,523.0,278.0,1.5,0.036,11.0,0.05,0.95,0.0,0.0,0.2,4.9,0.04,0.23,35.0,65.2
168,"Cheese, processed cheese food, cup",330.0,8.56,0.0,16.8599,5.5899,1362.0,1.0488,15.057,6.846,682.0,0.26,27.0,438.0,255.0,2.31,0.034,220.0,0.102,1.33,0.0,2.5,3.0,19.6,0.035,0.155,7.0,33.0
169,"Cheese, processed, with wine, cup",330.0,8.56,0.0,16.8599,5.5899,1284.0,1.0488,15.057,6.846,682.0,0.26,27.0,438.0,255.0,2.31,0.034,201.0,0.102,1.33,0.0,2.5,3.3999,19.6,0.035,0.155,7.0,36.2
170,"Cheese spread, Swiss cheese , cup",290.0,8.73,0.0,16.41,7.32,1625.0,0.624,13.327,6.219,562.0,0.33,29.0,875.0,242.0,2.5899,0.033,173.0,0.117,0.4,0.0,0.4,1.8,11.3,0.048,0.131,7.0,36.2
171,"Cheese spread, cream cheese, light , cup",201.0,8.13,0.0,7.8498,5.82,359.0,0.658,9.098,3.996,148.0,0.17,8.0,152.0,247.0,0.57,0.032,161.0,0.045,0.92,0.0,0.3,1.1,4.0,0.04,0.125,19.0,12.1
172,"American or cheddar imitation cheese, cup",239.0,11.6,0.0,16.6999,7.74,1345.0,0.409,8.7899,4.102,562.0,0.33,29.0,712.0,242.0,2.5899,0.033,114.0,0.12,0.4,0.0,0.0,2.7,15.1999,0.05,0.13,7.0,0.0
173,"Imitation mozzarella cheese, cup",248.0,23.67,0.0,11.47,23.67,685.0,1.738,3.7109,6.243,610.0,0.4,41.0,583.0,455.0,1.9199,0.11,437.0,0.051,0.81,0.1,0.0,1.0,19.1999,0.026,0.317,11.0,13.6999
174,"Cheese, cottage cheese with gelatin and fruit, cup",88.0,13.17,0.4,5.0998,12.27,177.0,0.061,0.704,0.322,37.0,0.14,5.0,77.0,75.0,0.2,0.045,19.0,0.037,0.18,0.7,0.0,0.9,4.5,0.018,0.176,6.0,9.0
175,"Cheese ball with nuts, cup",422.0,4.78,1.5,18.84,1.76,538.0,10.999,15.435,8.859,400.0,1.08,52.0,373.0,209.0,2.5099,0.36,189.0,0.194,0.55,0.9,0.5,2.3999,11.9,0.127,1.0068,33.0,27.3998
176,"Dip, cream cheese base with low-calorie mayonnaise, cup",305.423,6.527,0.026,4.95,3.2839,616.062,2.193,15.88,7.434,88.6659,0.473,8.435,94.5139,142.7059,0.461,0.022,295.1639,0.034,0.239,0.518,0.483,4.86,2.1829,0.022,0.139,9.912,23.5829
177,"Cheese pizza, topping only, cup",233.0,6.91,1.0,18.3998,3.56,682.0,0.635,7.466,3.5019,511.0,0.62,28.0,374.0,247.0,2.24,0.065,127.0,0.139,0.86,1.1,0.3,8.8,11.8,0.065,2.3229,12.0,14.6999
178,"Cheese sandwich, grilled, cup",339.0,33.81,1.7,11.6198,5.3098,793.0,3.754,6.221,6.2538,623.0,2.58,27.0,339.0,162.0,1.23,0.091,164.0,0.08,0.28,0.0,2.3999,10.5,19.1999,0.263,2.7759,15.0,18.6
179,"Cheese sandwich, cheese spread, cup",274.0,35.8299,1.6,10.73,5.37,915.0,1.097,5.166,2.6349,296.0,2.54,25.0,315.0,150.0,1.3899,0.175,61.0,0.096,0.14,0.0,0.1,2.6,15.1999,0.311,2.8839,19.0,22.1999
180,"Alfredo sauce, cup",450.0,2.22,0.0,7.96,1.7,412.0,1.657,29.122,12.757,261.0,0.19,13.0,169.0,66.0,0.66,0.015,443.0,0.032,0.36,0.3,0.9,4.0998,4.7,0.021,0.084,4.0,17.0
181,"Cheddar cheese soup, cup",66.0,8.1098,1.1,2.02,4.4,372.0,0.104,1.809,0.798,77.0,0.09,11.0,62.0,89.0,0.29,0.057,61.0,0.027,0.23,0.1,0.6,2.5,3.2999,0.025,0.202,4.0,14.1
182,"Steak, beef, grilled or broiled, lean and fat eaten, cup",178.0,0.0,0.0,28.4898,0.0,413.0,0.445,2.956,3.3639,18.0,2.4599,12.0,234.0,309.0,4.5,0.057,3.0,0.445,1.6799,0.0,0.1,1.8998,26.6,0.052,6.426,4.0,68.4
183,"Steak, beef, raw, top round, boneless, fat not trimmed, cup",150.96,0.0,0.0,22.6957,0.0,30.34,0.2715,2.527,2.8393,5.1798,1.8721,14.8,142.8198,186.4798,3.8479,0.0547,0.0,0.2982,1.2653,0.0,0.074,1.1099,23.4578,0.0518,3.9664,7.4,86.432
184,"Steak, beef, grilled or broiled, lean only eaten, cup",164.0,0.0,0.0,28.94,0.0,413.0,0.375,2.1499,2.483,18.0,2.47,13.0,238.0,315.0,4.5998,0.057,2.0,0.451,1.7,0.0,0.1,1.8998,27.1,0.052,6.5529,4.0,68.7
185,"Steak, beef, fried or baked, breaded, lean only eaten, cup",247.0,12.18,0.7,25.0398,1.28,447.0,2.6459,3.089,4.6368,51.0,2.52,18.0,215.0,277.0,3.9199,0.086,5.0,0.361,1.48,0.0,0.2,7.5998,25.3998,0.169,6.2919,6.0,54.6
186,"Steak, beef, braised, lean only eaten, cup",164.0,0.0,0.0,28.94,0.0,395.0,0.375,2.1499,2.483,14.0,2.6,10.0,172.0,204.0,4.5998,0.054,2.0,0.263,1.27,0.0,0.1,1.8998,27.1,0.033,4.5049,3.0,68.7
187,"Beef, raw, shortribs, bone in, fat not trimmed, cup",292.7735,0.0,0.0,13.4079,0.0,31.0799,0.951,11.0643,11.7357,7.4592,1.4357,9.3239,100.6992,139.2384,3.0333,0.0615,0.0,0.1367,1.6285,0.0,0.4351,1.4918,12.9292,0.031,1.5241,3.108,51.0955
188,"Beef, shortribs, barbecued, with sauce, lean only eaten, cup",269.0,12.74,0.3,22.68,10.39,363.0,0.433,5.658,5.844,18.0,2.6499,20.0,178.0,301.0,5.74,0.101,3.0,0.226,2.52,0.2,0.2,1.8998,16.5,0.054,2.516,6.0,87.5
189,"Beef, raw, roast, bottom round, boneless, fat not trimmed, cup",103.8199,0.0,0.0,15.9847,0.0,20.8798,0.1589,1.3536,1.6418,3.4799,1.4094,11.02,100.9199,130.5,2.7955,0.0377,0.0,0.2233,0.9453,0.0,0.0,0.754,18.2119,0.033,3.0705,5.2199,60.8419
190,"Beef, pot roast, braised or boiled, lean and fat eaten, cup",155.0,0.0,0.0,29.09,0.0,398.0,0.303,1.679,1.9279,13.0,2.89,10.0,177.0,212.0,4.5499,0.057,3.0,0.274,1.22,0.0,0.0,1.8998,27.3998,0.035,4.3818,3.0,72.0
191,"Beef, raw, pot roast, chuck arm, boneless, fat trimmed, cup",128.4,0.0,0.0,20.7959,0.0,33.6,0.1638,1.6727,1.8792,9.5998,1.758,13.7997,127.8,166.1999,4.992,0.072,0.0,0.1992,1.5179,0.0,0.06,0.96,21.2397,0.042,3.0263,7.1999,79.2
192,"Beef, stew meat, cooked, lean only eaten, cup",251.0,0.0,0.0,30.8,0.0,393.0,0.436,5.117,5.682,13.0,3.6499,23.0,233.0,261.0,10.18,0.147,0.0,0.288,2.45,0.0,0.2,1.7,26.5,0.079,2.648,6.0,117.3
193,"Corned beef, raw, brisket, boneless, fat not trimmed, cup",175.6999,0.3289,0.0,12.7189,0.0,681.0999,0.469,4.4378,6.4538,5.5998,1.302,8.3999,87.5,101.5,3.206,0.1078,0.0,0.161,1.1409,0.0,0.07,1.0499,22.9599,0.0182,2.1208,4.1999,48.4399
194,"Beef, raw, brisket, boneless, fat trimmed, cup",150.4199,0.0,0.0,20.5275,0.0,48.2999,0.207,2.5045,3.2084,4.1398,1.9388,15.8698,166.2898,196.6499,4.7539,0.0821,0.0,0.2,1.7939,0.0,0.1379,1.1039,16.9049,0.0483,2.5598,5.5198,78.1769
195,"Ground beef, patty, breaded, cooked, cup",319.0,14.9499,0.9,16.69,1.77,591.0,5.152,5.3048,8.791,68.0,2.4399,21.0,160.0,243.0,3.7999,0.094,6.0,0.226,1.59,0.0,0.2,14.0,16.8,0.185,4.2858,10.0,49.0
196,"Ground beef, 85% - 89% lean, cooked (ground sirloin, ground round)  , single-serve cup (3 fl oz)",230.0,0.0,0.0,24.42,0.0,401.0,0.435,5.291,5.987,20.0,2.66,22.0,209.0,346.0,6.15,0.081,0.0,0.364,2.79,0.0,0.2,1.2,20.1,0.043,5.73,8.0,78.2
197,"Ground beef, raw, 85% lean, cup",174.0,0.0,0.0,18.465,0.0,59.25,0.3292,4.0011,4.5277,15.0,2.0099,16.5,158.25,261.75,4.65,0.0607,0.0,0.2752,2.1074,0.0,0.15,0.8999,15.225,0.0322,4.3334,6.0,59.1749
